Hashtag,Year,Tweet_Count,Peak_Month,Sentiment,Location,Engagement,Event Trigger
#IPL2024,2024,"14,00,000",April,Positive,Pan-India,15K,IPL Season Start
#LokSabhaElections2024,2024,"13,00,000",May,Mixed,Pan-India,10K,Election Results
#Kalki2898AD,2024,"8,00,000",June,Positive,Telangana/AP,12K,Movie Release
#BanWaqfBoard,2024,"4,00,000",February,Negative,North India,5K,Waqf Controversy
#TeamIndia,2024,"9,00,000",June,Positive,Pan-India,11K,T20 WC Win
#Pushpa2,2024,"7,00,000",December,Positive,South India,13K,Movie Hype
#ElonMusk,2024,"5,00,000",January,Mixed,Urban India,8K,Tesla India Rumors
#RamMandir,2024,"6,00,000",January,Positive,North India,9K,Temple Inauguration
#RohitSharma,2024,"4,50,000",June,Positive,Pan-India,7K,T20 WC Captaincy
#Budget2024,2024,"5,50,000",July,Mixed,Urban India,6K,Budget Announcement
#GameChanger,2024,"3,00,000",September,Positive,Telangana/AP,5K,Teaser Release
#Devara,2024,"3,50,000",October,Positive,South India,6K,Movie Release
#Indian2,2024,"2,50,000",July,Mixed,Tamil Nadu,4K,Movie Release
#NEET2024,2024,"4,00,000",June,Negative,Pan-India,6K,Exam Controversy
#ParisOlympics,2024,"5,00,000",August,Positive,Urban India,8K,India Medals
#MakeInIndia,2024,"2,50,000",October,Positive,Pan-India,3K,Manufacturing Boost
#Diwali,2024,"3,50,000",October,Positive,Pan-India,6K,Festival
#Holi,2024,"2,00,000",March,Positive,Pan-India,4K,Festival
#EidMubarak,2024,"2,20,000",March,Positive,Pan-India,5K,Eid Celebration
#RakshaBandhan,2024,"1,80,000",August,Positive,Pan-India,4K,Festival
#GaneshChaturthi,2024,"2,00,000",September,Positive,Maharashtra,5K,Festival
#BiggBoss18,2024,"3,00,000",October,Mixed,Urban India,6K,Show Premiere
#T20WorldCup,2024,"6,00,000",June,Positive,Pan-India,10K,India Victory
#IndiaVsSA,2024,"4,00,000",November,Positive,Pan-India,8K,Test Series
#ViratKohli,2024,"5,00,000",June,Positive,Pan-India,9K,T20 WC Performance
#Modi,2024,"3,00,000",May,Mixed,Pan-India,6K,Election Campaign
#NarendraModi,2024,"2,50,000",January,Mixed,Pan-India,5K,Ram Mandir Speech
#Cryptocurrency,2024,"2,00,000",February,Mixed,Urban India,5K,Bitcoin Surge
#BTS,2024,"2,50,000",July,Positive,Urban India,6K,Reunion Rumors
#PetrolPrice,2024,"1,80,000",April,Negative,Urban India,4K,Fuel Price Hike
#UPSC,2024,"2,00,000",June,Mixed,Pan-India,5K,Results Announcement
#HarGharTiranga,2024,"1,50,000",August,Positive,Pan-India,4K,Independence Day
#Ramadan,2024,"1,40,000",March,Positive,Pan-India,4K,Ramadan Start
#WPL2024,2024,"2,00,000",March,Positive,Pan-India,5K,Women’s IPL
#Love,2024,"1,30,000",February,Positive,Pan-India,3K,Valentine’s Day
#CBSE,2024,"1,50,000",May,Mixed,Pan-India,4K,Board Results
#Adani,2024,"2,00,000",January,Mixed,Urban India,5K,Stock Recovery
#Leo,2024,"1,80,000",January,Positive,Tamil Nadu,4K,Continued Buzz
#Jailer,2024,"1,50,000",February,Positive,Tamil Nadu,4K,OTT Release
#Salaar,2024,"2,00,000",January,Positive,South India,5K,OTT Buzz
#Earthquake,2024,"1,30,000",March,Negative,North India,3K,Local Quake Reports
#MannKiBaat,2024,"1,50,000",June,Positive,North India,4K,PM Speech
#WomenCricket,2024,"1,40,000",March,Positive,Pan-India,4K,WPL Success
#IndiaVsNZ,2024,"2,00,000",October,Positive,Pan-India,6K,Test Series
#GunturKaaram,2024,"2,50,000",January,Positive,Telangana/AP,7K,Movie Release
#Paris2024,2024,"3,00,000",July,Positive,Urban India,8K,Olympics Start
#BlackMoney,2024,"1,20,000",February,Negative,Urban India,3K,Corruption Debate
#Oscars2024,2024,"2,00,000",March,Positive,Urban India,5K,Awards Season
#TechIndia,2024,"1,50,000",May,Positive,Urban India,4K,Tech Events
#Pathaan,2023,"15,00,000",January,Positive,North India,18K,Movie Release
#WorldCup2023,2023,"13,00,000",November,Mixed,Pan-India,15K,WC Final Loss
#Chandrayaan3,2023,"10,00,000",August,Positive,Urban India,20K,Moon Landing
#G20Summit,2023,"8,00,000",September,Positive,Delhi,12K,G20 Event
#Jawan,2023,"12,00,000",September,Positive,North India,16K,Movie Release
#IPL2023,2023,"11,00,000",May,Positive,Pan-India,14K,CSK Victory
#Adipurush,2023,"6,00,000",June,Mixed,South India,8K,Movie Release
#WrestlersProtest,2023,"5,00,000",May,Negative,Delhi,7K,Wrestlers’ Agitation
#Oscars2023,2023,"7,00,000",March,Positive,South India,10K,Naatu Naatu Win
#ViratKohli,2023,"5,50,000",October,Positive,Pan-India,9K,WC Performance
#RRR,2023,"6,00,000",March,Positive,Pan-India,12K,Oscar Win
#Tiger3,2023,"4,50,000",November,Positive,North India,7K,Movie Release
#Animal,2023,"5,00,000",December,Mixed,Urban India,8K,Movie Release
#Dunki,2023,"4,00,000",December,Positive,North India,6K,Movie Release
#Salaar,2023,"6,00,000",December,Positive,South India,9K,Movie Release
#MannKiBaat,2023,"3,50,000",June,Positive,North India,5K,PM Speech
#DigitalIndia,2023,"3,00,000",July,Positive,Urban India,4K,Policy Push
#TeamIndia,2023,"7,00,000",November,Positive,Pan-India,10K,WC Campaign
#IndiaVsAus,2023,"4,00,000",November,Mixed,Pan-India,8K,WC Final
#Diwali,2023,"3,50,000",November,Positive,Pan-India,6K,Festival
#Holi,2023,"2,00,000",March,Positive,Pan-India,4K,Festival
#EidMubarak,2023,"2,20,000",April,Positive,Pan-India,5K,Eid Celebration
#RakshaBandhan,2023,"1,80,000",August,Positive,Pan-India,4K,Festival
#GaneshChaturthi,2023,"2,00,000",September,Positive,Maharashtra,5K,Festival
#BiggBoss17,2023,"3,00,000",October,Mixed,Urban India,6K,Show Premiere
#PetrolPrice,2023,"2,50,000",May,Negative,Urban India,4K,Fuel Price Hike
#NEET2023,2023,"2,00,000",May,Negative,Pan-India,5K,Exam Controversy
#UPSC,2023,"1,80,000",June,Mixed,Pan-India,4K,Results Announcement
#Budget2023,2023,"2,00,000",February,Mixed,Urban India,5K,Budget Announcement
#Modi,2023,"2,50,000",March,Mixed,Pan-India,6K,PM Rally
#Cryptocurrency,2023,"2,00,000",April,Mixed,Urban India,5K,Crypto Recovery
#BTS,2023,"2,50,000",June,Positive,Urban India,6K,Comeback Rumors
#Pushpa2,2023,"3,00,000",August,Positive,South India,7K,First Look Release
